,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Color coding to denote open source (green), proprietary (orange), partial open source (yellow)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link ISV name to Trello board for status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AI and Machine Learning Lifecycle,,,,,,Data Analysis,,,Data Processing,,,,,,Data Store,,,,,,Data Governance and Security,,,,,,,,Infrastructure,,,,
,Part of ODH?,Platform vendor?,Experimentation & Parameter Tuning,Model Serving,Lineage,Interactive Workbench,Pre-defined Models as a Service,AI/ML Modules and Extensions,BI,Dashboards and Charts,Data Exploration,Message Bus,Workflows,Data Orchestration,Analytics Engine,Stream Processing,Batch Processing,Object Storage,In Memory Data Store,Data Virtualization,NoSQL Databases,Relational Databases,Analytics Database/Data Warehouse,Provenance and Lineage,Authentication,Authorization,Data Encryption,Data Catalog,Data Classification,Data Versioning,API Management,Monitoring and Alerting,Metric Visualization,AIOPs,Hardware Acceleration,Hardware Stacks
Moogsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moogsoft,,
Pachyderm,,,,,,,,,,,Pachyderm Enterprise,,,,,,,,,,,,,"Pachyderm Open Source, Pachyderm Enterprise",Pachyderm Enterprise,Pachyderm Enterprise,,"Pachyderm Open Source, Pachyderm Enterprise",,"Pachyderm Open Source, Pachyderm Enterprise",,,,,,
Arrikto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rok,,,,,,
Tamr,,,,,,,,,,,,,,,,,Tamr,,,Tamr,,,,,,,Tamr,Tamr,Tamr,,,,,,,
Immuta,,,,,,,,,,,,,,,,,,,,,,,,,Immuta,Immuta,Immuta,Immuta,Immuta,,,,,,,
One Convergence,,,"Kubeflow-Kaitib, DKube",,,,,,,DKube,,,"Kubeflow Pipelines, DKube",,,,,,,,,,,,DKube,DKube,,,,,,,,,,
DGraph,,,,,,,,,,,,,,,,,,,,,DGraph,,,,,,,,,,,,,,,
DBS-H,,,,,,,,,,,,,,,,CR8,,,,,,,,,,,,,,,,,,,,
LucidWorks,,,,,,,Fusion AI,,,,,,,,Fusion AI,,,,,,,,,,,,,,,,,,,,,
UIPath,,,,RPA Platform,,,RPA Platform,,,,,,RPA Platform,,,,,,,,,,,,,,,,,,,,,,,
RapidMiner,,x,,RapidMiner,RapidMiner,RapidMiner,,,,,RapidMiner,,RapidMiner,,,,,,,,,,,,,,,,,,,,,,,
Pipeline.ai,,x,"Kubeflow-Kaitib, MLFlow, Pipeline.ai","Kubeflow-Tensorflow Serving, Kubeflow-PyTorch Serving, Kubeflow-NVIDIA TensorRT Inference Server, Kubeflow-TensorFlow Batch Predict, Kubeflow-Seldon, Seldon-core, Pipeline.ai",,"Kubeflow-Jupyter Notebooks, Pipeline.ai",,,,,,,"Kubeflow-TensorFlow Training (TF Job), Kubeflow Pipelines, Pipeline.ai",,,,,,,,,,,,,,,,,,,,,,,
R-Brain,,x,,R-Brain,,"JupyterLab, Apache Zeppelin, R-Brain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iguazio,,x,"Kubeflow-Kaitib, Iguazio Data Science Platform","Kubeflow-Tensorflow Serving, Kubeflow-PyTorch Serving, Kubeflow-NVIDIA TensorRT Inference Server, Kubeflow-TensorFlow Batch Predict, Kubeflow-Seldon, Iguazio Data Science Platform",,Iguazio Data Science Platform,,,,,,,"Kubeflow-TensorFlow Training (TF Job), Kubeflow Pipelines, Iguazio Data Science Platform",,,,,,,,,,,,,,,,,,,,,,,
Agile Stacks,,x,Kubeflow-Kaitib,"Kubeflow-Tensorflow Serving, Kubeflow-PyTorch Serving, Kubeflow-NVIDIA TensorRT Inference Server, Kubeflow-TensorFlow Batch Predict, Kubeflow-Seldon, Seldon-core, Tensorflow Serving",,"Kubeflow-Jupyter Notebooks, JupyterHub",,,,,,,"Argo, Agile Stacks",,,,,,,,,,,,,,,,,,,"Prometheus, Agile Stacks","Grafana, Agile Stacks",,,
Cluster One,,,Cluster One Enterprise,Cluster One Enterprise,,"Jupyter Notebooks, Cluster One Enterprise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3.ai,,x,C3 AI Suite,C3 AI Suite,C3 AI Suite,"Jupyter, C3 AI Suite",,,"C3 Ex Machina, C3 AI Suite",,"C3 Ex Machina, C3 Ai Suite",,C3 AI Suite,,"Apache Spark, C3 AI Suite",,,,,,,,,,C3 AI Suite,C3 AI Suite,C3 AI Suite,C3 AI Suite,,,,,,,,
OmniSci,,,,,,,,,,OmniSci Immerse,,,,,,,,,,,,,OmniSciDB,,,,,,,,,,,,,
XCalar,,,,,,,,,,,,,Xcalar Data Platform,,,,Xcalar Data Platform,,,,,,,,,,,,,,,,,,,
SAP,,x,,SAP Hana,,SAP Hana,,,SAP Hana,SAP Hana,SAP Hana,,SAP Hana,,,SAP Hana,SAP Hana,,SAP Hana,SAP Hana,,,,,SAP Hana,SAP Hana,,,,,,,,,,
Dremio,,,,,,,,,,,,,,,Dremio,,,,,,,,,,,,,,,,,,,,,
Weka.io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WekaIO,
Determined AI,,,Determined AI,Determined AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data.world,,,,,,,,,,Data.world,,,,,,,,,,Data.world,,,,,,,,Data.world,,,,,,,,
Pure Storage,,,,,,,,,,,,,,,,,,FileBlade,,,,,,,,,,,,,,,,,,Pure Storage
Thoughtspot,,,,,,,,,Thoughtspot,,,,,,Thoughtspot,,,,,,,,,Thoughtspot,Thoughtspot,Thoughtspot,,,,,,,,,,
Verta.ai,,,,Verta.ai,Verta.ai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud Dataverse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Splunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Splunk,,,,
Decipher Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slower.ai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labs.ai,,,,,,,EDDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataiku,,,Dataiku DSS,Dataiku DSS,,Dataiku DSS,,,Dataiku DSS,Dataiku DSS,Dataiku DSS,,,,Dataiku,,,,,,,,,,,,,,,,,,,,,
AB Initio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCG,,x,,,,Source.ai,,,,Source.ai,,,,,,,,,,,,,,Source.ai,Source.ai,,Source.ai,Source.ai,,Source.ai,,,,,,
Minio,,,,,,,,,,,,,,,,,,,Minio,,,,,,,,,,,,,,,,,
cnvrg.io,,,cnvrg.io,cnvrg.io,,,,,,cnvrg.io,,,cnvrg.io,,,,,,,,,,,,,,,,,cnvrg.io,,,,,,
Alteryx,,x,,Alteryx Promote,,,,,,,,,"Alteryx Designer, Alteryx Server",,,,,,,,,,,,,,,Alteryx Connect,,,,,,,,
Zepl,,,,,,"Apache Zeppelin, Zepl",,,,"Apache Zeppelin, Zepl",,,,,,,,,,,,,,,,,,,,,,,,,,
TIBCO,,x,,Data Science,,Streaming,Spotfire,,"Spotfire, Jaspersoft",Jaspersoft,,,"Spotfire, Data Science",,ComputeDB,"Spotfire, Streaming",Spotfire,,,Data Virtualization,Graph Database,,,,,Data Science,,,,,,,,,,
Bright Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bright Cluster Manager for Data Science,,Bright Cluster Manager for Data Science,,
